Method,X_true,X_initial,X_final,"Noise (mean, variance)",Iterations,Final SSE
Newton's Method,"(0, 0, 2)","(0, 0, 2)","[0.014041632236583433, 0.029950289383235875, 2.030994472097645]","((0, 0), 2)",2,1396.748
Steepest Descent,"(0, 0, 2)","(0, 0, 2)","[0.014041632236583433, 0.029950289383235875, 2.030994472097645]","((0, 0), 2)",2,1396.748
Newton's Method,"(50, 100, 1000)","(1050, 1100, 2000)","[46.16237170662566, 101.51449529002733, 1001.5572799308188]","((50, 100), 1000)",2,705771.524
Steepest Descent,"(50, 100, 1000)","(1050, 1100, 2000)","[46.16237170662566, 101.51449529002733, 1001.5572799308188]","((50, 100), 1000)",2,705771.524
Newton's Method,"(1000, 0, 10000)","(11000, 10000, 20000)","[999.200816959718, 3.3638592120397766, 9998.091923456866]","((1000, 0), 10000)",2,7577365.794
Steepest Descent,"(1000, 0, 10000)","(11000, 10000, 20000)","[999.200816959718, 3.3638592120397903, 9998.091923456866]","((1000, 0), 10000)",2,7577365.794
