Method,X_true,X_initial,X_final,"Noise (mean, variance)",Iterations,Final SSE
Newton's Method,"(0, 0, 2)","(0, 0, 2)","[0.03830776030817055, 0.022433179931950795, 1.9847371782870171]","((0, 0), 2)",2,1447.94480261124
Steepest Descent,"(0, 0, 2)","(0, 0, 2)","[0.03830776030817055, 0.022433179931950795, 1.9847371782870171]","((0, 0), 2)",2,1447.94480261124
Newton's Method,"(50, 100, 1000)","(1050, 1100, 2000)","[50.002450974034495, 99.46877985811172, 998.9110666475382]","((0, 0), 1000)",2,666821.7620246769
Steepest Descent,"(50, 100, 1000)","(1050, 1100, 2000)","[50.002450974034495, 99.46877985811172, 998.9110666475382]","((0, 0), 1000)",2,666821.7620246769
Newton's Method,"(1000, 0, 10000)","(11000, 10000, 20000)","[1002.2593377676303, 3.5355468054211014, 10009.1649627559]","((0, 0), 10000)",2,6833436.212259151
Steepest Descent,"(1000, 0, 10000)","(11000, 10000, 20000)","[1002.2593377676303, 3.535546805421096, 10009.1649627559]","((0, 0), 10000)",2,6833436.212259151
